month,editors.anonymous,editors.user,editors.name-bot,editors.group-bot,editors.total,active-editors.total,edits.anonymous,edits.user,edits.name-bot,edits.group-bot,edits.total,new-reg.total,new-pages.anonymous,new-pages.user,new-pages.name-bot,new-pages.group-bot,new-pages.total,edited-pages.anonymous,edited-pages.user,edited-pages.name-bot,edited-pages.group-bot,edited-pages.total,edited-pages-conoc.non-content,edited-pages-conoc.content,edited-pages-conoc.total,pages2date.non-content,pages2date.content,pages2date.total,n_log_all,n_log_editor_ip,n_log_editor_bot,n_log_editor_user,n_log_admin_ip,n_log_admin_bot,n_log_admin_user,n_log_all_block,n_log_editor_ip_block,n_log_editor_bot_block,n_log_editor_user_block,n_log_admin_ip_block,n_log_admin_bot_block,n_log_admin_user_block,n_log_all_unblock,n_log_editor_ip_unblock,n_log_editor_bot_unblock,n_log_editor_user_unblock,n_log_admin_ip_unblock,n_log_admin_bot_unblock,n_log_admin_user_unblock,n_editor_all,n_editor_ip,n_editor_bot,n_editor_user,n_editor_all_block,n_editor_ip_block,n_editor_bot_block,n_editor_user_block,n_editor_all_unblock,n_editor_ip_unblock,n_editor_bot_unblock,n_editor_user_unblock,tag_number
2013-10-01,336746,122815,114.0,77.0,459752.0,36094,869236,2756483,49216.0,426432.0,4101367.0,156981,1364,155139,7061.0,13869.0,177433.0,297185,929475,32398.0,219310.0,1478368.0,395955,806921,1202876,18817952,4227999,23045951,99498,92788,1,6709,0,87443,12055,99398,92771,1,6626,0,87443,11955,100,17,0,83,0,0,100,98710,92294,1,6415,98681,92290,1,6390,97,17,0,80,50
2013-11-01,323263,119453,100.0,78.0,442894.0,35522,833998,2696282,50729.0,368761.0,3949770.0,150282,1182,145292,7679.0,27589.0,181742.0,289020,919791,35130.0,182034.0,1425975.0,356569,803104,1159673,18973061,4254632,23227693,152786,146382,7,6397,0,141990,10796,152656,146335,4,6317,0,141990,10666,130,47,3,80,0,0,130,152031,145950,4,6077,151976,145926,4,6046,129,47,3,79,50
2013-12-01,310124,116025,116.0,77.0,426342.0,35041,818540,2977171,65536.0,402096.0,4263343.0,148924,1381,150141,7098.0,22485.0,181105.0,281215,1086839,50428.0,226871.0,1645353.0,514551,850583,1365134,19129764,4279034,23408798,78311,71957,2,6352,0,68051,10260,78093,71875,1,6217,0,68051,10042,218,82,1,135,0,0,218,77516,71558,1,5957,77417,71493,1,5923,214,82,1,131,50
2014-01-01,331861,125439,111.0,83.0,457494.0,36856,907396,2894650,77948.0,524655.0,4404649.0,156897,1283,151134,9971.0,26794.0,189182.0,304773,956006,61244.0,305681.0,1627704.0,422823,887037,1309860,19292074,4305906,23597980,34086,27271,0,6815,0,21890,12196,33930,27238,0,6692,0,21890,12040,156,33,0,123,0,0,156,33217,26816,0,6401,33188,26811,0,6377,149,33,0,116,50
2014-02-01,301471,117686,101.0,80.0,419338.0,35070,801190,2661568,62449.0,374316.0,3899523.0,137417,1212,142229,7716.0,25452.0,176609.0,276776,898544,49492.0,182809.0,1407621.0,359546,771760,1131306,19443220,4331369,23774589,26035,19474,3,6558,0,14590,11445,25902,19449,1,6452,0,14590,11312,133,25,2,106,0,0,133,25244,19080,2,6162,25202,19070,1,6131,117,25,2,90,50
2014-03-01,321853,125405,91.0,82.0,447431.0,37910,880936,2880720,47589.0,422633.0,4231878.0,151925,1228,149298,9291.0,29488.0,189305.0,299580,948081,37188.0,210424.0,1495273.0,388269,813560,1201829,19608069,4355825,23963894,22530,14627,0,7903,0,9073,13457,22395,14597,0,7798,0,9073,13322,135,30,0,105,0,0,135,21338,14078,0,7260,21294,14068,0,7226,134,30,0,104,50
2014-04-01,297977,122982,89.0,78.0,421126.0,36470,809565,2712820,43178.0,471073.0,4036636.0,148995,1149,137893,6543.0,26220.0,171805.0,283770,917845,31839.0,262965.0,1496419.0,366304,828260,1194564,19756772,4378927,24135699,23905,16752,2,7151,0,11703,12202,23776,16723,1,7052,0,11703,12073,129,29,1,99,0,0,129,23120,16360,1,6759,23076,16354,1,6721,125,28,1,96,50
2014-05-01,287312,130709,90.0,77.0,418188.0,37452,778135,2823980,36985.0,457303.0,4096403.0,162681,1212,144931,7958.0,25257.0,179358.0,277397,952943,27469.0,261547.0,1519356.0,425076,808731,1233807,19912377,4402680,24315057,24372,16464,5,7903,0,11190,13182,24236,16444,3,7789,0,11190,13046,136,20,2,114,0,0,136,23486,16084,3,7399,23456,16082,3,7371,130,20,2,108,50
2014-06-01,255760,117933,86.0,84.0,373863.0,34672,709119,2630082,42885.0,390279.0,3772365.0,152827,1031,133960,7360.0,18444.0,160795.0,255636,891865,31940.0,173440.0,1352881.0,355079,751580,1106659,20050118,4425734,24475852,21217,14629,4,6584,0,11580,9637,21106,14603,2,6501,0,11580,9526,111,26,2,83,0,0,111,20563,14306,2,6255,20530,14300,2,6228,109,26,1,82,50
2014-07-01,241310,126611,92.0,86.0,368099.0,36416,690540,2710345,63731.0,489193.0,3953809.0,194215,1109,135090,5636.0,21143.0,162978.0,249518,921823,52058.0,292479.0,1515878.0,439627,816672,1256299,20185457,4453373,24638830,16113,7488,2,8623,199,5059,10855,15522,7469,1,8052,0,5059,10463,100,19,1,80,0,0,100,14807,7162,1,7644,14779,7157,1,7621,97,19,1,77,50
2014-08-01,254167,126703,100.0,89.0,381059.0,36345,726113,2793256,34586.0,404549.0,3958504.0,330290,1153,135886,5700.0,30053.0,172792.0,259099,966873,24261.0,214403.0,1464636.0,375754,836647,1212401,20333406,4478216,24811622,15126,6764,4,8358,0,4025,11101,14998,6740,2,8256,0,4025,10973,128,24,2,102,0,0,128,14353,6440,2,7911,14324,6439,2,7883,128,24,2,102,50
2014-09-01,255714,123522,94.0,85.0,379415.0,34988,703451,2606034,41793.0,452548.0,3803826.0,236425,923,132382,5651.0,22260.0,161216.0,256048,885950,21209.0,233474.0,1396681.0,377819,749011,1126830,20471830,4501008,24972838,14589,7178,5,7406,0,2545,12044,14483,7154,3,7326,0,2545,11938,106,24,2,80,0,0,106,13844,6791,3,7050,13815,6782,3,7030,100,24,2,74,50
2014-10-01,275696,130081,86.0,84.0,405947.0,37148,749268,2709748,48090.0,376482.0,3883588.0,239640,1122,157065,5090.0,22067.0,185344.0,271655,903253,28025.0,197759.0,1400692.0,399688,739146,1138834,20631002,4527180,25158182,24439,16468,2,7969,0,10961,13478,24280,16405,0,7875,0,10961,13319,159,63,2,94,0,0,159,23540,15985,2,7553,23463,15936,0,7527,158,63,2,93,50
2014-11-01,265432,126255,93.0,80.0,391860.0,36323,728343,2657301,36799.0,403672.0,3826115.0,233741,1236,174334,3940.0,20240.0,199750.0,266120,916143,27381.0,222728.0,1432372.0,363591,804075,1167666,20805112,4552820,25357932,22344,14923,2,7419,0,9820,12524,22209,14877,1,7331,0,9820,12389,135,46,1,88,0,0,135,21527,14510,1,7016,21474,14482,1,6991,132,46,1,85,50
2014-12-01,250432,122464,85.0,84.0,373065.0,35738,720400,2806834,30927.0,476778.0,4034939.0,224295,1273,216311,2774.0,21396.0,241754.0,262905,983822,23536.0,246226.0,1516489.0,455345,799379,1254724,21023699,4575987,25599686,43089,35358,0,7731,0,30085,13004,42954,35345,0,7609,0,30085,12869,135,13,0,122,0,0,135,42262,34948,0,7314,42217,34943,0,7274,134,13,0,121,50
2015-01-01,268193,131367,93.0,86.0,399739.0,37926,781006,3052657,46895.0,418190.0,4298748.0,232473,917,237439,3206.0,21841.0,263403.0,278630,1051298,21436.0,203885.0,1555249.0,440754,841189,1281943,21260031,4603058,25863089,73100,64614,7,8479,0,59017,14083,72930,64589,4,8337,0,59017,13913,170,25,3,142,0,0,170,72226,64211,3,8012,72186,64211,3,7972,159,24,2,133,50
2015-02-01,249116,130215,96.0,84.0,379511.0,36867,718172,2746491,41965.0,425052.0,3931680.0,225650,868,153420,2741.0,21969.0,178998.0,265380,920221,21835.0,231973.0,1439409.0,380250,797330,1177580,21415596,4626491,26042087,87339,78395,0,8944,0,72959,14380,87171,78366,0,8805,0,72959,14212,168,29,0,139,0,0,168,86528,78022,0,8506,86478,78013,0,8465,165,29,0,136,50
2015-03-01,270089,137612,109.0,83.0,407893.0,40456,785416,3066412,45368.0,899769.0,4796965.0,234509,1083,166080,3071.0,475293.0,645527.0,278493,986383,23524.0,695986.0,1984386.0,883036,829473,1712509,22036132,4651482,26687614,82248,73011,0,9237,0,67605,14643,82083,72990,0,9093,0,67605,14478,165,21,0,144,0,0,165,81293,72579,0,8714,81245,72577,0,8668,161,20,0,141,50
2015-04-01,295427,123673,103.0,91.0,419294.0,37872,824806,2854611,46743.0,1686088.0,5412248.0,307409,1042,157239,3057.0,22530.0,183868.0,288633,927804,23439.0,923799.0,2163675.0,948110,918639,1866749,22196616,4674866,26871482,48207,40736,0,7471,0,34687,13520,48045,40711,0,7334,0,34687,13358,162,25,0,137,0,0,162,47243,40226,0,7017,47200,40216,0,6984,157,25,0,132,50
2015-05-01,308302,120777,92.0,89.0,429260.0,36600,860157,2959326,48163.0,610200.0,4477846.0,218417,954,155516,2886.0,29219.0,188575.0,292361,1018492,27286.0,386447.0,1724586.0,415562,959175,1374737,22362206,4697851,27060057,47082,39486,6,7590,0,32691,14391,46951,39464,3,7484,0,32691,14260,131,22,3,106,0,0,131,46122,38928,4,7190,46083,38919,3,7161,129,22,3,104,50
