,year,tag,action
303,2015,arbitration,99
304,2015,attack,1786
305,2015,biographies,1133
306,2015,citing,531
307,2015,copyright,391
308,2015,disruptive editing,4963
309,2015,edit filter,223
310,2015,edit warring,1344
311,2015,evasion,5796
312,2015,harassment,81
313,2015,legal threats,15
314,2015,long-term abuse,1151
315,2015,multiple accounts,8296
316,2015,no legal threats,127
317,2015,notadvertising,2
318,2015,nothere,1980
319,2015,patent,189
320,2015,promotion,3651
321,2015,sockpuppetry,26
322,2015,spam,23049
323,2015,three-revert,344
324,2015,vandalism,28657
325,2015,{{anonblock}},12846
326,2015,{{blocked proxy}},372946
327,2015,{{checkuser block}},821
328,2015,{{checkuserblock-account}},6564
329,2015,{{checkuserblock-wide}},91
330,2015,{{colocationwebhost}},117
331,2015,{{oversightblock}},27
332,2015,{{rangeblock}},99
333,2015,{{school block}},13413
334,2015,{{tor}},15
335,2015,{{uw-causeblock}},339
336,2015,{{uw-softerblock}},3508
337,2015,{{uw-ublock-double}},35
338,2015,{{uw-ublock}},2173
339,2015,{{uw-uhblock-double}},16
340,2015,{{uw-uhblock}},2905
341,2015,{{uw-vaublock}},756
342,2015,{{webhostblock}},759
343,2016,advertising,203
344,2016,arbitration,123
345,2016,attack,1458
346,2016,biographies,961
347,2016,citing,1284
348,2016,copyright,450
349,2016,disruptive editing,6392
350,2016,edit filter,388
351,2016,edit warring,1016
352,2016,evasion,6838
353,2016,harassment,79
354,2016,legal threats,7
355,2016,long-term abuse,1425
356,2016,multiple accounts,9307
357,2016,no legal threats,129
358,2016,notadvertising,1
359,2016,nothere,2630
360,2016,patent,207
361,2016,promotion,4676
362,2016,sockpuppetry,62
363,2016,spam,22045
364,2016,three-revert,178
365,2016,vandalism,30409
366,2016,{{anonblock}},11819
367,2016,{{blocked proxy}},317489
368,2016,{{checkuser block}},888
369,2016,{{checkuserblock-account}},7612
370,2016,{{checkuserblock-wide}},132
371,2016,{{colocationwebhost}},131
372,2016,{{oversightblock}},46
373,2016,{{rangeblock}},109
374,2016,{{school block}},14861
375,2016,{{tor}},24
376,2016,{{uw-causeblock}},312
377,2016,{{uw-softerblock}},1290
378,2016,{{uw-ublock-double}},86
379,2016,{{uw-ublock}},2351
380,2016,{{uw-uhblock-double}},1
381,2016,{{uw-uhblock}},2750
382,2016,{{uw-vaublock}},248
383,2016,{{webhostblock}},434
384,2017,advertising,154
385,2017,arbitration,72
386,2017,attack,1558
387,2017,biographies,978
388,2017,citing,1129
389,2017,copyright,379
390,2017,disruptive editing,6087
391,2017,edit filter,8301
392,2017,edit warring,994
393,2017,evasion,6004
394,2017,harassment,57
395,2017,legal threats,7
396,2017,long-term abuse,2139
397,2017,multiple accounts,10727
398,2017,no legal threats,137
399,2017,notadvertising,4
400,2017,nothere,3084
401,2017,patent,235
402,2017,promotion,4921
403,2017,sockpuppetry,41
404,2017,spam,18395
405,2017,three-revert,249
406,2017,vandalism,39360
407,2017,{{anonblock}},10958
408,2017,{{blocked proxy}},573777
409,2017,{{checkuser block}},1156
410,2017,{{checkuserblock-account}},6078
411,2017,{{checkuserblock-wide}},111
412,2017,{{colocationwebhost}},1255
413,2017,{{oversightblock}},31
414,2017,{{rangeblock}},129
415,2017,{{school block}},14180
416,2017,{{tor}},7
417,2017,{{uw-causeblock}},275
418,2017,{{uw-softerblock}},1695
419,2017,{{uw-ublock-double}},84
420,2017,{{uw-ublock}},2342
421,2017,{{uw-uhblock-double}},19
422,2017,{{uw-uhblock}},2517
423,2017,{{uw-vaublock}},192
424,2017,{{webhostblock}},542
